序号	流水号	项目名称	起止时间	资助经费(万元)	下达部门	
64	GG2006-5	福建科技信息资源整合与利用的对策研究	2006-2007	7.00	福建省科技厅	
65	GG2006-6	提升福建省高新技术企业引进消化吸收再创新能力的对策研究	2006-2007	9.00	福建省科技厅	
66	GG2006-7	福建科技发展报告（2006）	2006-2007	10.00	福建省科技厅	
67	GG2006-8	推进福建自主创新进程的财税激励政策问题研究	2006-2007	11.00	福建省科技厅	
68	GG2006-9	基于平衡计分卡方法的建设资源节约型社会评价体系研究	2006-2008	1.00	校科技发展基金	
69	GG2006-10	电子商务中基于3C的信息过滤推荐系统的研制	2006-2008	1.00	校科技发展基金	
70	GG2006-11	电子政务与基于"服务链"式的政府流程再造问题研究	2006-2008	0.40	校科技发展基金	
71	GG2006-12	福建省人力资本积累与经济增长的相关性研究	2006-2008	2.00	福建省教育厅	
72	GG2006-13	构筑海峡西岸创新体系研究	2006-2008	0.50	福建省教育厅	
73	GG2006-14	福建省企业物流网络规划模型创新的研究	2006-2007	3.00	校人才基金	
74	GG2006-15	海峡西岸经济区农产品物流体系研究	2006-2008	7.00	校人才基金	
75	GG2006-16	财政分权与农村发展：基于省级面板数据的实政研究	2006-2008	3.00	校人才基金	
76	GG2006-17	福建省交通运输（控股）有限责任公司整合物流资源发展综合物流方案	2006-2006	35.00	福建省交通运输（控股）有限责任公司	
77	GG2006-18	福建省人口与环境资源承载力研究	2006-2006	0.50	福建省人口计生委	
78	GG2006-19	福州市软件园发展战略研究	2006-2006	5.00	福州市软件园管理委员会	
79	GG2006-20	福建省地市级烟草公司卷烟销售网络运行规范研究	2006-2006	2.00	福建省烟草公司	
80	GG2006-21	高等教育人才培养结构调整与就业问题研究	2006-2007	0.00	中国高等教育学会	
81	GG2006-22	我国高校科技创新能力与机制研究	2006-2008	1.00	中国高等教育学会	
82	GG2006-23	高技能人才培养模式与途径研究	2006-2009	2.00	中国高等教育学会	
管理学院						
83	GY2006-1	专利战略与核心竞争力的基本理论研究	2006-2007	3.00	校人才基金	
84	GY2006-2	我国宏观调控效应的汇率制度分析	2006-2008	8.00	国家社科基金	
85	GY2006-3	区域自主创新能力评价、监测及相关问题研究	2006-2007	1.50	福建省社科规划办	
86	GY2006-4	企业集成创新能力建设的管理理论、方法和实务研究	2006-2007	0.80	福建省社科规划办	
87	GY2006-5	“海西”生态与经济和谐发展价值核算研究--以福建林业为样本	2006-2007	0.80	福建省社科规划办	
88	GY2006-6	东亚经济一体化进程中的海峡经济区合作机制研究	2006-2007	0.80	福建省社科规划办	
89	GY2006-7	中小企业融资问题研究	2006-2007	0.80	福建省社科规划办	
90	GY2006-8	期权博弈视角下的企业专利投资研究	2006-2007	0.80	福建省社科规划办	
91	GY2006-9	中国城市住宅价格：基于不完全市场下的经济性管制研究	2006-2007	0.80	福建省社科规划办	
92	GY2006-10	区域自主创新机制与福建创新型区域建设研究	2006-2007	0.80	福建省社科规划办	
93	GY2006-11	企业并购重组绩效问题研究	2006-2007	0.80	福建省社科规划办	
94	GY2006-12	基于IT环境下的事项会计理论与应用方法研究	2006-2007	0.80	福建省社科规划办	
95	GY2006-13	灰知识表示与灰知识灰性测度研究	2006-2008	15.00	福建省自然科学基金（重点）	
96	GY2006-14	证券市场价格波动的非线性动态均衡机理研究	2006-2008	1.00	福建省自然科学基金（自由）	
97	GY2006-15	企业技术创新支撑环境存在的问题及其对策研究	2006-2007	7.00	福建省科技厅	
98	GY2006-16	发展福建省创新风险投资，促进中小企业自主创新的思路与对策研究	2006-2007	7.00	福建省科技厅	
99	GY2006-17	我省高新技术企业价值评估及其产权交易政策研究	2006-2007	7.00	福建省科技厅	
100	GY2006-18	基于包装自主创新，提升福建专利与贸易竞争力水平的战略研究	2006-2007	8.00	福建省科技厅	
101	GY2006-19	实施知识产权集成战略，加快福建省高新技术产业自主创新进程	2006-2007	7.00	福建省科技厅	
102	GY2006-20	福建省自主创新能力评价监测系统研究	2006-2007	8.00	福建省科技厅	
103	GY2006-21	加强过程管理提高科技计划项目质量对策研究	2006-2007	8.00	福建省科技厅	
104	GY2006-22	基于事件传播价值的体育赞助营销效用评估研究	2006-2008	1.00	校科技发展基金	
105	GY2006-23	经济全球化中的价值冲突与我国文化发展战略	2006-2008	1.00	校科技发展基金	
106	GY2006-24	企业人力资源流失风险管理系统工程	2006-2008	1.00	校科技发展基金	
107	GY2006-25	我国区域间产业集聚差异与农村劳动力跨区域转移研究	2006-2008	1.00	校科技发展基金	
108	GY2006-26	不完全信息下企业债务融资与产品差异化策略博弈的分析	2006-2008	1.00	校科技发展基金	
109	GY2006-27	企业并购重组财务整合问题研究	2006-2008	1.00	校科技发展基金	
110	GY2006-28	基于顾客关系的服务营销策略中人员要素的研究	2006-2008	1.00	校科技发展基金	
111	GY2006-29	基于基础设施建设项目的ABS(资产证券化)融资模式应用研究	2006-2008	1.00	校科技发展基金	
112	GY2006-30	基于专利标准战略的企业竞争优势研究	2006-2008	1.00	校科技发展基金	
113	GY2006-31	包装竞争力--面向多元化包装功能的设计	2006-2008	0.40	校科技发展基金	
114	GY2006-32	基于WEB的电子商务谈判支持系统研究	2006-2008	0.40	校科技发展基金	
115	GY2006-33	基于形成机理的产业集群发展战略与策略研究	2006-2008	0.40	校科技发展基金	
116	GY2006-34	区域自主创新能力评价研究	2006-2008	0.40	校科技发展基金	
117	GY2006-35	提高企业集成创新能力的管理理论与方法研究	2006-2008	2.00	福建省教育厅	
118	GY2006-36	公司治理与公司财务困境:基于生存分析的实证研究	2006-2008	0.30	福建省教育厅	
119	GY2006-37	社会资本与企业融资的关系研究	2006-2008	0.30	福建省教育厅	
120	GY2006-38	消费者学习类型对销售促进使用心理影响的实证研究	2006-2008	0.30	福建省教育厅	
121	GY2006-39	福建省财政支农的理论思考与现实选择	2006-2008	0.30	福建省教育厅	
122	GY2006-40	基于支持向量机的经济预测方法及其应用研究	2006-2008	0.30	福建省教育厅	
123	GY2006-41	中国上市公司控制权市场研究--基于股权分置改革的理论与实证	2006-2008	0.30	福建省教育厅	
124	GY2006-42	基于价值管理的现代会计信息系统研究	2006-2008	0.30	福建省教育厅	
125	GY2006-43	东亚经济一体化框架下的海峡经济区合作与发展研究	2006-2008	0.30	福建省教育厅	
126	GY2006-44	福建省公众科学素养调查应用研究	2006-2008	0.30	福建省教育厅	
127	GY2006-45	环境绩效审计研究	2006-2008	0.40	福建省教育厅	
128	GY2006-46	上市公司表外信息披露过剩问题研究	2006-2008	0.30	福建省教育厅	
129	GY2006-47	MRP-与车间调度集成系统的理论与方法研究	2006-2009	6.00	校人才基金	
130	GY2006-48	非财务视角下中国上市公司经营困境评价研究	2006-2009	3.00	校人才基金	
131	GY2006-49	专利产品平行进口的产生动因及影响	2006-2008	3.00	校人才基金	
132	GY2006-50	企业竞争行为的论理学分析——从契约伦理的角度	2006-2008	4.00	校人才基金	
133	GY2006-51	经济全球化的中国大豆产业：价格、效率与贸易选择	2006-2008	3.00	校人才基金	
134	GY2006-52	企业家人力资本收益研究	2006-2009	2.00	校人才基金	
135	GY2006-53	福建省固定资产投资与税收增长	2006-2007	0.60	福建省计划学会	
