序号	流水号	项目名称	起止时间	资助经费(万元)	下达部门	
265	JX2006-12	含两种纳米颗粒的复合镀层的制备及摩擦学性能	2006-2008	2.50	校基金	
266	JX2006-13	粗糙表面滑动接触模拟仿真及其在摩擦制动副中的应用	2006-2007	1.50	校基金	
258	JX2006-5	新型耐热铸造镁合金的研究	2006-2008	2.50	校科技发展基金	
259	JX2006-6	多学科协同产品建模及协调机制的研究	2006-2008	2.50	校科技发展基金	
260	JX2006-7	连杆机构回路及其缺陷的自动识别研究	2006-2008	2.50	校科技发展基金	
261	JX2006-8	基于多体理论的多级虚拟制造系统研究	2006-2008	2.50	校科技发展基金	
254	JX2006-1	自生Mg2Si相增强镁基复合材料的研究	2006-2008	2.50	校人才基金	
255	JX2006-2	虚拟环境下复杂机械系统的运动学性能分析	2006-2010	8.00	校人才基金	
267	JX2006-14	基于正交多项式的迭代学习控制算法及其应用	2007-2009	2.50	校人才基金	
268	JX2006-15	基于SOA的产品分布式设计系统的研究与开发	2006-2008	2.50	校人才基金	
269	JX2006-16	有限元网格门户技术及应用研究	2006-2008	5.00	校人才基金	
建筑学院						
279	JZ2006-1	当前福州地区大学校园景观演变研究	2006-2010	5.00	校人才基金	
280	JZ2006-2	湿热地区大学校园规划建设中的景观生态效应研究	2006-2008	2.50	校科技发展基金	
281	JZ2006-3	湿热地区大学校园规划建设中的景观生态格局与效应研究	2006-2008	2.00	福建省教育厅	
空间信息工程研究中心						
284	KJ2006-3	福建省省直机关政务信息资源共享基础目录库建设的研究	2006-2007	6.00	福建省发改委（数字办）	
315	KJ2006-34	空间数据挖掘与信息共享	2006-2009	100.00	福建省高等学校科技创新团队培育计划	
283	KJ2006-2	福建省海域使用管理信息系统升级建设	2006-2007	25.00	福建省海洋渔业局	
287	KJ2006-6	空间信息Web服务智能搜索研究	2006-2008	5.00	福建省教育厅	
288	KJ2006-7	面向专题的空间信息智能搜索研究	2006-2008	2.00	福建省教育厅	
291	KJ2006-10	亚热带森林生态系统NPP遥感估算与地学分析	2006-2007	3.00	福建省科技三项	
298	KJ2006-17	新一代面向服务的webGIS研发与行业应用示范	2006-2007	15.00	福建省科技厅	
300	KJ2006-19	大场景虚拟森林景观可视化系统的开及其推广应用	2006-2008	15.00	福建省科技厅	
301	KJ2006-20	“数字区域”软件集成技术与综合应用	2006-2008	400.00	福建省科技厅	
302	KJ2006-21	新型雷达数据ENVISATASAR在丘陵多云地区土地利用和农业资源监测	2006-2008	15.00	福建省科技厅	
308	KJ2006-27	2003-2004年全局性长期旱情对福建农业用地结构影响的定量分析及对策研究	2006-2008	10.00	福建省科技厅	
292	KJ2006-11	省级政务信息共享平台开发与应用	2006-2008	25.00	福建省科技厅（配套）	
312	KJ2006-31	环境光催化中若干重大基础问题研究	2006-2006	10.00	福建省科技厅（配套）	
313	KJ2006-32	基于多尺度遥感动态信息的分布式虚拟地理环境研究	2006-2006	10.00	福建省科技厅（配套）	
293	KJ2006-12	农业多空间尺度3S信息网络应用、推广和共享服务	2006-2008	15.00	福建省科技厅配套经费	
294	KJ2006-13	物流基础信息服务平台的关键技术研究与开发	2006-2008	10.00	福建省科技厅配套经费	
295	KJ2006-14	季风区森林生态系统碳循环研究-以福建为例	2006-2008	15.00	福建省科技厅配套经费	
297	KJ2006-16	区域综合科技信息共享网福建示范	2006-2008	65.00	福建省科技厅配套经费	
311	KJ2006-30	基于中间件技术的软件平台研究	2006-2008	20.00	福建省科技厅配套经费	
282	KJ2006-1	[数字福建]三维仿真平台建设	2005-2007	140.00	福建省科技厅研究开发平台建设	
304	KJ2006-23	比例尺与水平分辨率对DEM提取地形因子精度影响研究	2006-2008	4.00	福建省自然科学基金	
305	KJ2006-24	涉及障碍物和便利体约束条件的空间聚类研究	2006-2009	4.00	福建省自然科学基金	
303	KJ2006-22	空间相关的测度及其应用研究	2006-2008	15.00	福建省自然科学基金（重点）	
306	KJ2006-25	二类水体MERIS数据大气校正研究	2006-2007	1.00	福建省自然科学基金（自由）	
307	KJ2006-26	基于不同分辨率遥感数据的福建省干旱监测研究	2006-2007	1.00	福建省自然科学基金（自由）	
314	KJ2006-33	福州市城市空间地理信息基础框架研究	2006-2007	10.00	福州市政务信息中心	
285	KJ2006-4	面向数字城市的高空间分辨率遥感数据处理的关键技术研究	2006-2008	60.00	高等学校科技创新工程重大项目培育资金	
290	KJ2006-9	资源环境遥感（新世纪优秀人才支持计划）	2006-2008	50.00	国家教育部	
296	KJ2006-15	区域综合科技信息共享网	2006-2008	95.00	国家科技部	
299	KJ2006-18	高空间分辨率遥感影像自适应数据挖掘方法研究	2006-2009	50.00	国家科技部973项目	
309	KJ2006-28	基于本体的协同式虚拟森林环境研究	2007-2009	25.00	国家自然科学基金	
310	KJ2006-29	面向地学应用的时空多尺度数据挖掘研究	2007-2009	23.00	国家自然科学基金	
286	KJ2006-5	台湾海峡近岸水体叶绿素浓度MERIS遥感检测	2006-2007	1.50	校科技发展基金	
289	KJ2006-8	福建省土地的多尺度空间自相关分析	2006-2009	2.50	校人才基金	
离散数学与理论计算机科学研究中心						
316	LS2006-1	图的支配问题及其应用	2006-2008	2.50	福建省科技三项	
317	LS2006-2	子图覆盖与子图存在性若干问题	2006-2008	30.00	福建省科技厅配套经费	
318	LS2006-3	大规模集成电路设计中的图论与代数方法	2006-2009	160.79	国家科技部973项目	
319	LS2006-4	分子图的匹配	2006-2007	1.00	福建省自然科学基金（自由）	
320	LS2006-5	多级网络的结构和可重排性	2006-2008	5.00	校人才基金	
321	LS2006-6	图的博弈染色及其推广	2006-2008	2.00	留学回国人员科研启动基金	
322	LS2006-7	图论及其应用	2006-2009	100.00	福建省高等学校科技创新团队培育计划	
人文社会科学学院						
323	RW2006-1	高校思想政治教育评价研究	2005-2008	3.00	校人才基金	
324	RW2006-2	我国服刑人员未成年子女教育权益保障问题研究	2005-2007	1.00	全国教育规划办	
325	RW2006-3	大学文学写作	2006-2008	7.00	校人才基金	
326	RW2006-4	近代圣母圣心会在内蒙古地区传教活动研究	2006-2008	2.00	校人才基金	
327	RW2006-5	美国大都市区空间结构演变探析——兼与中国北京、上海比较	2006-2008	2.00	校人才基金	
328	RW2006-6	生态实践论	2006-2008	2.50	校人才基金	
329	RW2006-7	明清以来闽西道教与社会文化变迁	2006-2008	2.00	校人才基金	
330	RW2006-8	《麈馀》点校	2006-2007	1.00	全国高校古籍整理研究项目	
331	RW2006-9	唯物史观视野中的当代社会形态理论研究	2006-2007	0.80	福建省社科规划办	
332	RW2006-10	新农村建设中的农民需求与政府职能	2006-2007	0.80	福建省社科规划办	
333	RW2006-11	加强福建农村民主法制建设，完善乡村治理机制	2006-2007	0.80	福建省社科规划办	
334	RW2006-12	城镇化建设与失地妇女就业问题研究	2006-2007	0.40	福建省社科规划办	
335	RW2006-13	企业技术引进吸收再创新过程中专利保护问题研究	2006-2007	8.00	福建省科技厅	
336	RW2006-14	我国服刑人员未成年子女民间救助机构发展现状及发展政策研究	2006-2008	1.00	校科技发展基金	
337	RW2006-15	畲族地区农村劳动力素质提高与转移问题的调查研究	2006-2008	1.00	校科技发展基金	
338	RW2006-16	明清人认识六朝诗的新视角	2006-2008	1.00	校科技发展基金	
339	RW2006-17	李商隐诗歌的佛道渊研究	2006-2008	1.00	校科技发展基金	
340	RW2006-18	心理测评在人才选拔中的应用研究	2006-2008	0.40	校科技发展基金	
341	RW2006-19	当代台湾闽、客语文教育政策与文化保存经验研究	2006-2008	0.40	校科技发展基金	
342	RW2006-20	林旭及其《晚翠轩集》研究	2006-2008	0.40	校科技发展基金	
343	RW2006-21	合唱艺术对中老年人身心健康的影响、作用及其在音乐疗法中的实施与研究	2006-2008	0.30	福建省教育厅	
344	RW2006-22	马克思社会哲学的当代性与风险社会理论	2006-2008	0.30	福建省教育厅	
345	RW2006-23	民国时期中国音乐西传的研究	2006-2008	0.30	福建省教育厅	
346	RW2006-24	杜甫与宋代词文化研究	2006-2008	0.30	福建省教育厅	
347	RW2006-25	文学语言美学修辞	2006-2008	0.30	福建省教育厅	
348	RW2006-26	企业生产与农民工的身份流动关系研究	2006-2008	0.30	福建省教育厅	
349	RW2006-27	生态诚信--当代人类的另一种德性	2006-2008	0.30	福建省教育厅	
350	RW2006-28	“傲骨原宜老布衣“--谈林纾和他的诗文创作	2006-2008	0.30	福建省教育厅	
351	RW2006-29	借鉴温泉区域发展模式的成功经验促进我省新农村建设的问题研究	2006-2008	0.30	福建省教育厅	
352	RW2006-30	新农村建设农民需求与政府职能研究	2006-2008	0.30	福建省教育厅	
353	RW2006-31	基于闽台农业合作的长效机制研究	2006-2008	0.40	福建省教育厅	
354	RW2006-32	社会转型期新闻价值观念的演变与发展研究	2006-2008	0.40	福建省教育厅	
355	RW2006-33	毛泽东人民军队使命思想的与时俱进	2006-2008	0.50	福建省教育厅	
生物科学与工程学院						
356	SW2006-1	肽TY_7诱导白血病细胞凋亡的作用机理研究	2006-2008	5.00	校人才基金	
357	SW2006-2	阿胶有效成分骨髓造血细胞增殖肽的活性研究	2006-2008	10.00	福建省科技厅	
358	SW2006-3	鹿茸促成骨细胞生长协同作用组分的分离鉴定及其分子作用机理研究	2007-2009	28.00	国家自然科学基金	
359	SW2006-4	生物医药工程技术创新平台建设	2007-2008	120.00	福建省科技厅科技平台项目	
360	SW2006-5	山茶油、茶皂素及茶粕综合利用	2006-2006	9.00	福建省发改委（合作）	
361	SW2006-6	海水鱼内陆无公害生态养殖技术研究与开发	2006-2008	2.50	校科技发展基金	
362	SW2006-7	植物抗菌抗病毒多肽的研究	2006-2008	2.50	校科技发展基金	
363	SW2006-8	福建省药、食、能源藻体的筛选	2006-2008	2.50	校科技发展基金	
364	SW2006-9	新创融合蛋白PTD-SOD的抗类风湿性关节炎的机理研究	2006-2008	2.50	校科技发展基金	
365	SW2006-10	生物腐植酸高产菌株的选育及发酵条件研究	2006-2008	1.50	校科技发展基金	
366	SW2006-11	点带石斑鱼节水型无公害养殖模式研究	2006-2008	1.50	校科技发展基金	
367	SW2006-12	TAT介导的SOD融合蛋白紫外辐射防护作用机理研究	2006-2008	1.50	校科技发展基金	
368	SW2006-13	多糖－蛋白结合疫苗的研究	2006-2007	1.50	校科技发展基金	
369	SW2006-14	核磁共振及其成像技术研究面团的流变特性	2006-2008	2.00	福建省教育厅	
数学与计算机科学学院						
407	SX2006-38	福州大学福建省超级计算中心	2006-2007	30.00	福建省发改委	
392	SX2006-23	运动补偿与分形理论相结合的视频压缩研究	2006-2008	0.50	福建省教育厅	
393	SX2006-24	一类抛物方程在外区域问题的解对系数及初始时刻几何的连续依赖性	2006-2008	0.50	福建省教育厅	
394	SX2006-25	几类生态模型的持久性和稳定性	2006-2008	0.50	福建省教育厅	
395	SX2006-26	几类相对稠密补模	2006-2008	0.50	福建省教育厅	
396	SX2006-27	基于克隆技术的Web用户行为预测算法的研究	2006-2008	0.80	福建省教育厅	
397	SX2006-28	平面凸轮机构反求设计关键技术的研究	2006-2008	0.50	福建省教育厅	
398	SX2006-29	经济均衡	2006-2008	0.50	福建省教育厅	
399	SX2006-30	巴拿赫空间算子代数K理论的若干探讨	2006-2008	0.50	福建省教育厅	
400	SX2006-31	多指标稳定分量过程和可加稳定分量过程的局部时	2006-2008	0.50	福建省教育厅	
401	SX2006-32	概率极限理论的理论研究及实际应用	2006-2008	0.50	福建省教育厅	
402	SX2006-33	非自治微分方程周期解与概周期解的研究	2006-2008	0.80	福建省教育厅	
403	SX2006-34	通用会商式协同综合预报IGDSS关键技术的研究	2006-2008	2.00	福建省教育厅	
374	SX2006-5	先进控制和嵌入式先进控制器的研究	2006-2008	15.00	福建省科技厅	
372	SX2006-3	行车数据的智能化分析及应用研究	2006-2008	8.00	福建省青年科技人才创新项目	
373	SX2006-4	P2P网络下的数字版权安全微支付技术研究	2007-2009	8.00	福建省青年科技人才创新项目	
406	SX2006-37	福建省集成电路设计中心建设	2006-2007	30.00	福建省信息产业厅	
375	SX2006-6	粒子群算法收敛性理论及其多目标优化模型研究	2006-2008	4.00	福建省自然科学基金	
376	SX2006-7	基于协同信息处理的肿瘤免疫组化结果分类标准研究	2006-2008	4.00	福建省自然科学基金	
377	SX2006-8	基于离散粒子群优化的最优属性约简算法研究	2006-2008	4.00	福建省自然科学基金	
378	SX2006-9	NP优化的填充函数算法及其应用研究	2006-2008	4.00	福建省自然科学基金	
379	SX2006-10	一般域上矩阵理论若干问题的研究	2006-2008	1.00	福建省自然科学基金（自由）	
380	SX2006-11	基于小波变换的时间序列挖掘算法与相似性查询	2006-2008	1.00	福建省自然科学基金（自由）	
381	SX2006-12	非自治系统的稳定性与线性化	2006-2008	1.00	福建省自然科学基金（自由）	
382	SX2006-13	多项式微分系统的定性理论及其应用	2006-2009	1.00	福建省自然科学基金（自由）	
383	SX2006-14	元数据的自动提取与服务体系研究	2006-2008	1.00	福建省自然科学基金（自由）	
370	SX2006-1	粒子群优化算法机理及其应用研究	2006-2008	12.00	国家教育部重点项目	
384	SX2006-15	高速网络环境下的内容分析研究	2007-2007	7.00	国家自然科学基金	
385	SX2006-16	Φ增生算子半群的解及其遍历理论的研究	2006-2008	2.50	校科技发展基金	
386	SX2006-17	WebLogs中增量挖掘邻近序列模式算法研究	2006-2008	2.50	校科技发展基金	
387	SX2006-18	P2P网络下的数字版安全微支付技术研究	2006-2008	2.50	校科技发展基金	
388	SX2006-19	主动网络的可靠性与安全机制研究	2006-2008	2.50	校科技发展基金	
389	SX2006-20	周期系数二阶方程特征指数的计算与估计	2006-2008	1.50	校科技发展基金	
390	SX2006-21	分布式轻量级工作流管理系统的研究与应用	2006-2007	1.50	校科技发展基金	
391	SX2006-22	基于WEB服务的我省现代物流业公共信息平台构建研究	2006-2007	1.50	校科技发展基金	
371	SX2006-2	非限性偏微分方程和调和分析方法	2006-2009	7.00	校人才基金	
404	SX2006-35	多Agent系统中组合拍卖问题模型与求解算法	2006-2008	2.50	校人才基金	
405	SX2006-36	某些时滞系统的稳定性研究	2006-2008	5.00	校人才基金	
体育教学部						
408	TY2006-1	我国竞技体育体制在全面建设小康社会进程中的演变趋势	2006-2008	0.40	福建省教育厅	
409	TY2006-2	现代生活方式与社会体育生活化研究	2006-2008	0.30	福建省教育厅	
410	TY2006-3	女子篮球“男子化风格”及其训练学因素研究	2006-2008	0.30	福建省教育厅	
411	TY2006-4	社会结构变迁对中国社会体育影响的研究	2006-2008	0.30	福建省教育厅	
412	TY2006-5	2008年实现我国“119工程”田径项目战略目标的预测与分析	2006-2008	0.30	福建省教育厅	
413	TY2006-6	我国26-55岁城市居民体育生活方式的现状与影响因素的调查分析	2006-2008	0.30	福建省教育厅	
414	TY2006-7	高校竞技体育现状与发展对策	2006-2008	0.30	福建省教育厅	
415	TY2006-8	对福建高校足球运动竞赛损伤原因的探讨	2006-2008	0.30	福建省教育厅	
图书馆						
416	QT2006-2	数字图书馆知识产权战略研究	2006-2007	0.80	福建省社科规划办	
417	QT2006-3	数字图书馆知识产权评估与使用管理研究	2006-2008	5.00	国家教育部	
土木工程学院						
438	TM2006-21	既有轻型拱桥加固后动力性能的计算机仿真试验研究	2006-2007	1.00	福建省教育厅	
439	TM2006-22	高土石坝地震风险研究	2006-2008	2.00	福建省教育厅	
440	TM2006-23	宽尾墩—阶梯溢流坝—消力池一体化消能机理研究	2006-2008	2.00	福建省教育厅	
421	TM2006-4	桥梁健康监测中模型修正和损伤指标构造的新方法研究	2006-2008	2.50	福建省科技三项	
422	TM2006-5	混凝土面板堆石坝应力与变形分析非线性有限元技术研究	2006-2008	3.00	福建省科技三项	
423	TM2006-6	无伸缩逢曲线梁箱的受力性能与关键技术研究	2006-2008	15.00	福建省科技厅	
424	TM2006-7	层间隔震结构成套设计方法研究	2006-2008	10.00	福建省科技厅	
427	TM2006-10	基于损伤理论的压电智能结构的非线性动力学研究	2007-2009	8.00	福建省青年科技人才创新项目	
428	TM2006-11	钢管混凝土柱-钢筋混凝土环扁梁中节点抗震性能的研究	2006-2008	4.00	福建省自然科学基金	
429	TM2006-12	采用纤维增强复合材料(FRP)抗震加固钢油罐结构的研究	2006-2009	4.00	福建省自然科学基金	
430	TM2006-13	纤维自密实混凝土工作性及力学性能的研究	2006-2009	3.00	福建省自然科学基金	
425	TM2006-8	带钢管混凝土边框柱的组合剪力墙抗震性能研究	2007-2009	26.00	国家自然科学基金	
426	TM2006-9	土坡的复合破坏特性及其无网格法数值模拟研究	2007-2009	26.00	国家自然科学基金	
420	TM2006-3	城市建设与多灾害防治	2006-2007	25.00	校基金	
431	TM2006-14	基于TDR技术的边坡综合信息监测系统研究	2007-2008	2.50	校科技发展基金	
432	TM2006-15	各向异性岩石水软化特性的声学响应研究	2006-2008	2.50	校科技发展基金	
433	TM2006-16	宽尾墩体型优化及消能机理研究	2006-2008	2.50	校科技发展基金	
434	TM2006-17	高墩大跨桥梁地震易损问题Pushover方法研究	2006-2008	2.50	校科技发展基金	
435	TM2006-18	基于多尺度分析的桥梁结构健康监测方法研究	2006-2008	2.50	校科技发展基金	
436	TM2006-19	钢管混凝土构件抗剪性能研究	2006-2008	1.50	校科技发展基金	
437	TM2006-20	交通模式与城市发展的适应性研究	2006-2008	1.50	校科技发展基金	
418	TM2006-1	大型动力机器基础防微振计算理论研究及工程应用	2006-2008	2.50	校人才基金	
419	TM2006-2	宽尾墩和阶梯溢流坝一体化水工设施数值模拟研究	2006-2009	3.50	校人才基金	
441	TM2006-24	岩石材料水软化特性的声学响应研究	2006-2008	5.00	校人才基金	
442	TM2006-25	环境温度效应下应力混凝土桥梁的力学行为研究	2006-2008	8.00	校人才基金	
443	TM2006-26	反复堆卸载条件下粘土地基与临近桩基相互作用研究	2006-2009	10.00	校人才基金	
外国语学院						
444	WY2006-1	国际友人研究与我省对外文化交流与合作	2006-2007	0.80	福建省社科规划办	
445	WY2006-2	福建对外宣传翻译问题研究	2006-2007	0.80	福建省社科规划办	
446	WY2006-3	马克.吐温和鲁迅幽默讽刺艺术的跨文化文学解读	2006-2008	0.30	福建省教育厅	
447	WY2006-4	从“生态意识”角度解读加拿大作家法利.莫厄特的作品	2006-2008	0.30	福建省教育厅	
448	WY2006-5	诗歌语言的符号学特性初探	2006-2008	0.30	福建省教育厅	
449	WY2006-6	福柯与女性主义文学批评	2006-2008	0.30	福建省教育厅	
450	WY2006-7	20世纪后期西欧女性小说家叙事特点的探究	2006-2008	0.30	福建省教育厅	
451	WY2006-8	Euphemism委婉对比研究	2006-2008	0.30	福建省教育厅	
452	WY2006-9	凯瑟琳•曼斯菲尔德小说中的自恋人物	2006-2008	0.40	福建省教育厅	
453	WY2006-10	康拉德小说的现代主义特征研究	2006-2008	0.50	福建省教育厅	
454	WY2006-11	中英色彩文化与语义对比的研究	2006-2008	0.30	福建省教育厅	
455	WY2006-12	译者的文化使命--从赛珍珠的译本悟《水浒传》的跨文化翻译之道	2006-2008	0.30	福建省教育厅	
456	WY2006-13	文学文本的话语呈视方式与斜述结构探讨	2006-2008	0.30	福建省教育厅	
457	WY2006-14	大学英语课文的文体分析研究	2006-2008	0.30	福建省教育厅	
458	WY2006-15	体验英语写作：理论研究与教学实践	2006-2007	0.50	高等教育出版社	
网络与信息中心						
459	QT2006-4	下一代网络行为分析与主动管理研究	2006-2007	20.00	福建省科技厅	
物理与信息工程学院						
470	WL2006-11	铁磁/反铁磁混合磁性颗粒薄膜阻塞温度的蒙特卡罗研究	2006-2007	0.50	福建省教育厅	
471	WL2006-12	SnS薄膜的半导体特性研究	2006-2007	0.50	福建省教育厅	
472	WL2006-13	基于光子探测的量子信息处理	2006-2007	0.50	福建省教育厅	
473	WL2006-14	核磁共振中双组分核自旋体系扩散行为的计算机模拟	2006-2007	0.50	福建省教育厅	
474	WL2006-15	非傅立叶热传导在超薄热涂层中的应用	2006-2008	0.50	福建省教育厅	
475	WL2006-16	工艺对硫化亚锡薄膜光学性能的影响	2006-2007	0.80	福建省教育厅	
476	WL2006-17	在离子阱系统中隐形传送量子态	2006-2007	0.80	福建省教育厅	
477	WL2006-18	基于虚拟机技术的虚拟实验环境构建研究及应用	2006-2008	0.50	福建省教育厅	
478	WL2006-19	远程制备量子态	2006-2008	1.00	福建省教育厅	
479	WL2006-20	新型风速风向传感器结构仿真设计	2006-2007	0.50	福建省教育厅	
480	WL2006-21	量子通信中纠缠光源的制备	2006-2008	0.50	福建省教育厅	
481	WL2006-22	基于腔QED量子态隐形传送	2006-2008	0.50	福建省教育厅	
482	WL2006-23	用腔QED制备和操纵多模量子态	2006-2007	0.50	福建省教育厅	
483	WL2006-24	基于是553B通讯总线的数据处理系统的研究	2006-2008	2.00	福建省教育厅	
484	WL2006-25	电力载波通信专用集成电路的设计研究	2006-2008	2.00	福建省教育厅	
485	WL2006-26	MIMOOFDM下一代通信系统的信道估计和应用研究	2006-2008	2.00	福建省教育厅	
463	WL2006-4	TUNER芯片的仿真设计	2006-2007	3.00	福建省科技三项	
464	WL2006-5	大屏幕高分辨率FED视频显示驱动技术的研究	2006-2009	2.50	福建省科技三项	
465	WL2006-6	新型SnS薄膜太阳电池的前期研究	2006-2009	3.00	福建省科技三项	
489	WL2006-30	数字调谐器芯片的研制	2006-2008	15.00	福建省科技厅	
466	WL2006-7	福建省动漫游戏研发公共服务平台	2006-2008	50.00	福建省信息产业厅	
490	WL2006-31	光学微腔谐振器的机理及其应用研究	2006-2009	3.00	福建省自然科学基金	
491	WL2006-32	射频MEMS开关悬梁振动特性分析及纳米尺度下的触点行为研究	2006-2008	5.00	福建省自然科学基金	
492	WL2006-33	基于腔量子电动力学的量子态传送	2006-2007	1.00	福建省自然科学基金（自由）	
493	WL2006-34	生物光子的量子效应及成像	2006-2008	1.00	福建省自然科学基金（自由）	
494	WL2006-35	二硫化铁太阳电池材料的制备及性能研究	2006-2009	1.00	福建省自然科学基金（自由）	
495	WL2006-36	面向林火蔓延的虚拟地理环境的关键技术研究	2006-2008	1.00	福建省自然科学基金（自由）	
497	WL2006-38	福建省集成电路设计中心	2006-2008	2500.00	福州市人民政府	
488	WL2006-29	利用多原子与腔的相互作用进行量子态的制备与操纵	2007-2009	26.00	国家自然科学基金	
496	WL2006-37	集成RF的无线传感器网络及其在高致病性禽流感监控方面的应用	2007-2009	26.00	国家自然科学基金	
469	WL2006-10	基于生物化学传感应用的生物活性大分子材料及其相关高性能纳米材料研究	2006-2008	3.00	校博士后流动站基金	
467	WL2006-8	SO2微腔谐振器的机理及其应用研究	2006-2008	2.50	校科技发展基金	
468	WL2006-9	虚拟人技术在协同虚拟地理环境中的应用研究	2006-2008	1.50	校科技发展基金	
460	WL2006-1	光学微腔谐振器的机理及其应用研究	2006-2008	7.00	校人才基金	
461	WL2006-2	稀磁半导体的计算与设计	2006-2008	5.00	校人才基金	
462	WL2006-3	嵌入式智能楼宇安防报警系统	2005-2008	5.00	校人才基金	
486	WL2006-27	基于纠缠光源制备的量子信息研究	2006-2008	5.00	校人才基金	
487	WL2006-28	MIMOOFDM下一代无线移动通信系统信道估计技术的研究	2006-2009	3.00	校人才基金	
校办公室						
498	QT2006-5	福建省高校科技统计研究	2006-2007	0.30	福建省教育厅	
499	QT2006-6	高校开展大学生社会主义荣辱观教育的长效机制	2006-2008	0.30	福建省教育厅	
宣传部						
500	QT2006-7	《二蓝集》点校研究	2006-2007	0.80	福建省社科规划办	
501	QT2006-8	高校德育的信度与效度研究	2006-2008	0.30	福建省教育厅	
学生处						
502	QT2006-9	社会主义荣辱观与加强和改进大学生思想政治教育研究	2006-2008	0.30	福建省教育厅	
自动化研究所						
503	ZD2006-1	协同模式识别方法在智能控制系统中的应用研究	2007-2009	20.00	国家自然科学基金	
组织部						
504	QT2006-10	本科高校高年级班级设置党支部的可行性研究	2006-2007	0.30	福建省教育工委	
