序号	流水号	项    目    名    称	起止时间	资助经费(万元)	下  达  部  门	
260	TM2008-24	有侧移斜梁计算的研究	2008-2009	0.50	福建省教育厅B类	
261	TM2008-25	竖向荷载作用下基础隔震结构隔震影响系数研究	2008-2010	0.50	福建省教育厅B类	
262	TM2008-26	即有桥梁抗震性能研究	2007-2009	1.00	福建省教育厅B类	
263	TM2008-27	钢管混凝土构件抗剪性能研究	2007-2009	1.00	福建省教育厅B类	
264	TM2008-28	徐变对钢管混凝土拱桥稳定影响研究	2008-2010	1.00	福建省教育厅A类	
265	TM2008-29	重载下路面与软土地基动力共同作用及路面破坏机制研究	2008-2010	1.00	福建省教育厅A类	
266	TM2008-30	预应力混凝土空间框架节点多维抗震性能研究	2008-2010	1.00	福建省教育厅A类	
267	TM2008-31	超大跨径混凝土拱桥研究	2008-2011	15.00	福建省科技厅	
268	TM2008-32	钢腹板-混凝土箱形拱桥研究	2008-2012	125.00	国家交通部	
269	TM2008-33	福建省海峡两岸土木工程防震减灾工程研究中心	2008-2010	100.00	福建省发改委	
270	TM2008-34	标准火灾作用后钢管混凝土粘结滑移本构关系模型研究	2008-2011	6.00	教育部高校博士点基金	
271	TM2008-35	西部地区公路桥梁延性抗震机理与高墩抗震设计方法	2008-2010	15.00	西部交通项目	
网络与信息中心						
272	QT2008-1	面向流媒体应用的P2P网络优化分析	2008-2009	1.50 	福建省自然科学基金（自由）	
273	QT2008-2	基于QoS的自适应网格容错技术研究	2008-2010	3.00 	福建省教育厅A类	
物理与信息工程学院						
274	WL2008-1	苯系物的共振双光子电离及痕量探测研究	2008-2010	2.50 	校科技发展基金	
275	WL2008-2	基于视觉时空特性分析的LED背光源动态显示机理研究	2008-2010	2.50 	校科技发展基金	
276	WL2008-3	高清晰场致发射显示器复合薄膜型精细电极的制备与应用	2008-2010	1.50 	校科技发展基金	
277	WL2008-4	基于UWB的128点FFT处理器的设计	2008-2010	1.50 	校科技发展基金	
278	WL2008-5	微掺杂ZnO半导体纳米材料制备及其气敏性能研究	2008-2010	3.50	校人才基金	
279	WL2008-6	LED发光特性及光伏驱动系统研究	2007-2010	5.00	校人才基金	
280	WL2008-7	平板显示器高精细复合电极的制备及其缺陷检测技术的研究	2008-2010	4.50	科技三项	
281	WL2008-8	省ICC建设	2008-2010	1000.00	福建省信息产业厅	
282	WL2008-9	新型薄膜光伏材料的研究	2008-2010	2.00	留学回国科研启动基金	
283	WL2008-10	纳米WO3气敏材料的特性研究	2008-2010	0.50	福建省教育厅B类	
284	WL2008-11	混合磁性薄膜的自旋冻结效应研究	2008-2010	0.50	福建省教育厅B类	
285	WL2008-12	太阳能电池窗口层材料硫化锌薄膜的制备	2008-2009	0.50	福建省教育厅B类	
286	WL2008-13	SnS:Ag薄膜的制备及其电学性能研究	2008-2009	0.50	福建省教育厅B类	
287	WL2008-14	光电池窗口层材料SnS薄膜的计算与设计	2008-2011	1.00	福建省教育厅A类	
288	WL2008-15	原子与双模场作用的非经典特性	2008-2009	0.80	福建省教育厅B类	
289	WL2008-16	基于多原子腔QED的量子信息处理	2008-2010	1.00	福建省教育厅B类	
290	WL2008-17	丝状冷阴极的制备及其在场发射荧光灯管中的应用	2008-2011	1.00	福建省教育厅A类	
291	WL2008-18	EEG信号时空模型解耦与系统多元辨识	2008-2011	1.00	福建省教育厅A类	
292	WL2008-19	连续变量相干光的实验研究与应用	2008-2010	7.50	福建省教育厅A类	
293	WL2008-20	福建省平板显示技术工程实验室	2007-2009	200.00	福建省发改委	
294	WL2008-21	高性能DAC的IP硬核设计	2008-2009	20.00	福建省信息产业厅	
295	WL2008-22	场发射平板显示高性能介质薄膜的研制	2008-2010	5.00	校人才基金	
现代教育中心						
296	QT2008-3	基于B/S结构的教师教学质量评价系统研究开发	2008-2010	0.50	福建省教育厅B类	
自动化研究所						
297	ZD2008-1	高速公路隧道智能电力监控系统的标准化设计	2008-2009	20.00	福建省科技厅	
紫金矿业学院						
298	ZJ2008-1	露天矿高陡边坡角的确定研究	2008-2010	2.50 	校科技发展基金	
299	ZJ2008-2	福建省上杭市紫金山金铜矿区构造隆升与岩石剥蚀历史研究	2008-2011	8.00	校人才基金	
300	ZJ2008-3	压力型锚索固机理的研究	2008-2011	7.00	校人才基金	
301	ZJ2008-4	花岗岩围岩中锆石的研究对探索紫金山铜金矿床成因的意义	2009-2012	6.00	校人才基金	
302	ZJ2008-5	露天矿台阶爆破振动速度理论及检测研究	2008-2011	5.00	校人才基金	
